Variable,row,age,sex,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,maharat,roshd,khodpeiravi,ertebatm,rezayat,manaviat,shadi,behzisti
,79,,1,5,2,2,4,3,1,3,3,2,3,3,3,5,5,1,3,3,5,5,3,3,5,5,1,5,5,1,1,1,5,3,1,1,1,4,3,3,1,5,3,5,2,3,5,3,3,3,3,3,3,1,3,4,3,3,5,1,3,3,2,2,4,3,2,4,2,3,2,3,4,3,3,3,3,3,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,3,2,5,5,5,1,1,1,1,2,2,5,5,2,169,25,30,24,56,36,58,232
,80,,1,1,1,2,1,1,1,2,1,2,2,4,1,5,1,1,1,2,2,5,5,2,2,1,5,4,5,1,3,5,4,2,1,1,1,3,1,2,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,4,4,5,5,3,3,5,3,4,3,5,3,5,3,5,5,3,5,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,1,5,3,1,5,1,1,5,1,3,3,3,2,1,1,5,140,27,32,18,46,21,48,197
,81,,2,2,1,1,2,1,1,2,1,2,2,4,3,3,2,2,2,1,3,4,5,1,1,1,5,1,3,1,1,2,5,2,1,2,1,5,1,2,3,5,3,5,2,5,2,5,4,1,1,1,3,1,1,4,1,3,5,3,3,4,2,3,2,1,1,1,2,1,2,3,2,2,4,2,4,2,1,3,3,5,3,5,5,3,5,3,4,5,5,3,5,3,3,5,5,3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,3,3,2,3,2,3,3,1,3,1,3,5,2,1,3,141,15,31,17,46,26,44,182
,82,,2,1,1,1,1,1,1,2,1,1,2,5,1,1,5,1,1,1,1,1,5,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,2,1,1,1,3,5,5,3,5,5,5,1,1,1,1,1,2,1,1,5,2,1,1,1,1,3,3,1,2,4,5,5,4,5,1,5,5,5,3,5,1,5,5,5,5,3,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,1,5,5,5,5,2,5,5,1,1,5,1,5,1,1,5,156,17,29,10,36,20,32,145
,83,,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,3,2,4,1,1,1,4,1,2,1,1,2,5,1,1,1,1,2,4,4,1,2,2,2,1,2,5,1,1,1,2,1,5,1,1,3,4,4,5,1,5,1,1,1,1,2,2,2,2,1,1,2,2,2,4,2,1,1,1,5,1,3,3,4,2,3,4,3,1,4,5,5,4,5,3,5,1,5,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,3,1,1,2,1,1,2,1,1,2,1,3,3,1,1,2,1,4,3,2,5,122,13,26,14,29,25,46,153
,84,,2,3,3,2,1,1,2,2,1,1,2,2,1,3,3,2,2,3,2,2,3,2,4,2,4,2,3,2,2,4,3,3,4,3,2,4,3,3,1,1,2,1,4,1,4,3,2,3,2,2,3,3,3,2,4,4,1,1,4,2,2,1,1,1,2,3,2,1,2,2,1,2,2,3,2,3,2,4,4,2,3,2,2,3,3,2,4,3,3,3,5,3,4,4,4,4,3,4,2,2,3,3,3,3,3,2,2,2,2,1,2,1,2,3,2,2,3,4,5,4,3,3,4,2,3,4,1,1,5,3,4,1,1,4,160,21,28,13,41,27,49,180
,85,,2,3,1,2,1,2,1,3,2,5,2,3,2,2,1,1,3,5,1,2,3,2,2,2,5,1,3,1,1,4,4,1,1,2,2,4,2,3,1,4,3,2,5,2,4,1,2,3,4,5,3,3,1,4,3,4,1,1,4,1,1,2,3,4,5,1,2,3,4,5,5,3,1,5,5,2,1,1,5,3,5,4,1,4,5,3,2,3,5,5,5,3,3,5,2,5,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,2,1,1,1,2,5,1,2,1,2,2,5,3,5,2,1,5,1,5,1,1,5,142,19,37,24,41,32,48,199
,86,,2,3,2,4,2,2,1,2,3,4,2,2,5,4,5,1,3,2,2,3,5,2,2,2,4,2,4,3,1,4,4,3,3,2,1,5,2,2,2,3,5,3,2,2,4,3,1,1,2,1,2,2,2,1,2,5,4,1,4,5,1,5,4,1,1,3,1,1,3,2,5,1,1,4,2,3,2,3,5,3,2,5,2,2,4,3,4,3,5,3,5,2,3,5,4,5,4,4,2,3,4,4,2,4,4,1,2,1,4,4,5,5,1,3,1,2,1,2,4,4,3,4,3,4,1,2,4,2,1,2,2,1,1,4,170,25,26,21,51,37,44,203
,87,,2,3,3,1,1,1,2,2,1,2,2,3,2,5,3,2,2,3,2,3,3,1,2,2,5,4,2,1,2,3,4,2,1,1,1,3,3,3,2,2,2,2,3,2,5,3,2,3,2,2,4,3,2,2,1,3,2,2,3,3,2,1,2,1,4,2,1,1,2,1,2,3,1,1,3,2,1,2,5,4,3,4,3,4,5,4,4,3,5,4,5,1,5,5,2,4,1,1,4,3,2,1,1,3,2,1,3,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,3,1,1,4,1,1,4,1,2,1,2,4,140,22,30,16,39,22,42,173
,88,,2,3,3,1,2,2,4,1,2,3,4,3,4,5,3,1,2,1,4,3,4,3,2,3,4,3,4,1,2,5,4,1,2,4,3,4,1,4,3,4,4,3,2,3,2,2,1,2,2,1,4,1,2,3,2,3,4,4,5,3,1,2,3,4,3,2,1,1,1,2,4,2,3,1,2,2,3,2,5,3,3,4,3,1,5,3,5,5,4,5,3,4,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,5,4,5,1,1,5,124,23,31,23,48,30,46,204
,89,,2,2,3,3,2,2,4,1,4,2,4,2,4,4,3,4,2,3,4,4,3,3,2,3,3,1,2,3,2,5,3,2,4,2,2,1,2,4,3,2,5,2,2,2,5,2,4,2,4,2,3,3,2,2,2,4,4,3,4,2,1,4,2,4,2,3,4,2,4,2,3,2,4,2,4,4,2,2,5,3,4,4,1,5,5,1,5,1,5,3,5,3,4,5,1,5,1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,5,2,5,1,1,5,193,23,28,21,51,36,56,219
,90,,2,2,3,1,1,1,1,1,1,3,2,2,3,1,1,1,1,1,2,1,2,1,1,1,5,1,5,1,1,5,5,1,1,1,1,4,1,2,1,4,4,5,2,5,4,2,1,1,1,1,1,2,1,2,1,3,5,2,5,4,1,2,1,2,1,3,1,3,1,3,5,3,1,1,2,1,2,3,5,5,5,5,3,4,5,5,5,4,5,4,5,4,3,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,3,1,1,5,1,2,5,1,4,1,1,5,144,17,27,18,30,21,46,161
,91,,2,1,3,2,2,2,2,2,2,3,2,3,4,3,4,2,3,2,4,5,4,3,2,3,5,4,4,2,3,5,2,1,1,1,3,5,3,1,5,5,3,3,1,3,5,1,3,1,3,1,5,3,1,5,1,3,5,3,5,1,1,1,1,3,4,1,3,1,1,1,3,2,3,1,2,3,1,5,5,3,2,4,1,5,5,2,5,3,3,2,5,5,4,5,3,5,1,3,1,5,1,1,1,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,1,5,1,5,1,1,5,205,21,25,22,41,34,60,206
,92,,2,3,3,3,4,2,1,2,2,1,2,1,4,4,1,1,2,2,5,4,4,1,2,1,5,2,5,4,4,5,4,1,2,1,2,5,2,2,3,2,4,4,3,5,4,1,2,3,3,2,3,1,2,5,2,1,4,1,4,5,1,2,1,4,2,2,3,1,1,2,4,1,4,2,3,2,2,3,3,5,5,4,5,2,5,5,3,3,5,5,5,2,5,5,4,5,1,1,3,3,4,2,1,3,2,1,2,2,3,3,4,5,2,5,4,4,3,4,3,5,5,3,5,2,2,5,1,2,5,2,1,1,1,5,186,27,28,18,38,32,58,203
,93,,2,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,4,4,1,1,1,4,3,2,1,1,1,5,1,1,3,1,1,1,3,1,2,5,1,2,1,1,1,3,1,3,3,3,1,3,2,5,2,2,3,1,2,1,3,2,3,2,1,1,3,5,3,2,1,4,5,3,2,4,4,5,5,4,5,3,5,1,5,5,4,5,4,5,1,2,1,1,2,2,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,5,5,3,5,1,1,5,3,5,1,1,5,154,22,18,12,39,18,41,147
,94,,2,1,4,1,1,2,3,2,1,1,5,3,1,2,5,1,1,3,4,1,3,3,2,2,1,1,3,1,3,5,2,3,2,4,1,3,1,3,5,5,5,5,1,5,3,3,3,3,2,1,2,2,1,5,1,3,2,2,5,4,1,3,2,2,3,2,1,4,1,4,5,2,1,3,4,1,4,4,5,4,4,5,4,3,5,3,4,5,5,5,5,4,5,5,5,4,1,2,3,1,2,1,1,2,2,1,2,2,3,1,2,1,1,1,1,2,4,1,2,5,4,3,3,1,2,3,4,1,5,2,3,4,1,5,165,22,29,26,39,26,54,200
,95,,2,1,1,1,2,2,3,2,1,2,2,3,2,3,1,2,1,3,3,3,4,3,2,4,5,2,5,3,1,4,5,3,5,5,2,3,3,3,5,5,1,3,1,3,5,1,5,5,4,5,1,4,3,4,1,5,1,4,2,4,1,3,2,3,2,1,2,1,2,1,2,3,1,1,3,3,2,4,5,3,5,4,4,2,5,5,5,4,5,4,5,3,5,5,4,4,2,1,1,1,1,2,1,2,2,1,3,1,2,1,2,1,2,1,1,1,2,1,2,3,2,3,3,2,1,5,1,2,5,2,5,3,1,2,151,20,30,17,59,24,53,209
,96,,2,1,1,1,1,1,1,2,1,2,1,3,2,3,3,1,2,4,5,4,4,2,1,1,4,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,3,3,1,1,1,2,1,4,1,1,3,2,5,3,1,5,5,1,3,3,3,1,1,1,1,1,2,4,3,3,3,2,1,1,4,3,5,3,4,3,4,5,5,5,4,5,3,5,4,4,5,3,3,1,1,1,1,4,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,2,1,5,2,2,5,5,5,3,1,1,5,4,5,2,1,5,157,20,26,15,31,28,45,164
,97,,2,3,4,1,1,2,1,2,1,2,3,2,2,3,2,3,3,2,2,3,2,3,3,3,3,3,3,1,1,2,3,3,1,2,3,3,2,3,2,1,3,1,3,1,3,3,1,2,1,1,5,3,3,1,1,3,1,3,1,3,2,1,5,1,3,1,1,1,1,1,1,1,3,3,4,3,2,3,3,4,4,5,4,3,5,4,3,3,4,4,5,2,5,5,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,4,1,4,1,1,4,122,17,22,19,47,23,41,169
,98,,2,4,2,2,1,3,1,2,1,3,2,1,1,4,2,1,3,1,2,3,5,3,3,1,5,2,5,1,1,3,4,3,1,3,1,3,3,2,3,5,5,3,1,1,1,1,1,2,1,1,5,1,2,5,3,5,1,3,5,5,2,1,5,1,3,1,1,1,3,3,1,1,1,5,2,3,1,5,4,4,3,3,2,2,5,3,3,4,3,4,5,3,5,5,2,4,2,1,2,2,2,3,1,4,2,1,5,1,2,2,3,1,1,1,1,2,1,1,1,5,2,1,5,2,1,2,1,2,5,4,4,2,2,4,148,22,30,24,46,28,41,188
,99,,2,1,2,1,1,1,1,1,1,2,1,1,2,2,5,1,1,1,2,2,5,1,1,1,5,4,2,1,1,2,2,1,1,1,1,5,1,4,1,2,2,2,4,2,5,1,1,1,1,1,5,1,1,2,4,1,2,1,5,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,2,5,5,4,5,4,5,3,3,5,5,5,3,5,4,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4,1,1,3,2,3,1,1,1,3,5,1,4,3,1,1,5,1,5,5,1,1,5,1,4,2,1,5,162,13,28,11,22,25,40,140
,100,,2,3,1,4,2,3,2,2,1,1,2,3,3,3,3,1,3,3,1,1,3,3,2,3,3,2,1,3,3,2,5,3,2,1,1,1,3,3,5,1,1,1,3,1,3,3,1,3,1,1,3,2,3,1,3,5,1,3,1,3,1,1,2,1,3,3,1,1,3,3,1,3,3,3,4,3,1,3,4,3,4,3,4,4,5,4,4,2,4,4,5,4,5,5,5,5,1,1,2,1,1,1,2,4,1,1,2,1,3,2,2,1,1,1,1,1,2,1,1,3,1,1,5,1,1,5,1,1,5,2,4,4,2,4,148,20,29,16,48,28,35,175
,101,,2,2,4,3,3,5,4,4,5,3,4,5,5,1,3,2,3,2,1,3,1,2,5,3,2,2,1,2,5,3,1,3,4,2,4,4,2,3,5,3,3,4,4,3,1,3,5,3,5,2,3,3,4,4,1,5,4,2,1,3,1,5,3,4,2,4,3,4,1,3,4,4,5,1,4,3,2,5,3,1,5,3,2,4,5,5,3,5,2,4,5,3,1,5,3,5,1,4,1,2,3,2,2,1,1,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,5,1,1,5,3,5,1,1,5,143,24,28,27,60,39,56,240
,102,,2,5,4,3,2,1,2,3,4,5,5,4,3,4,5,1,1,2,3,2,2,5,5,4,3,2,5,1,3,1,2,3,2,2,1,4,3,5,4,3,4,4,2,1,1,3,2,1,2,3,4,1,2,1,3,2,2,2,2,5,5,2,4,1,2,4,3,2,4,3,1,5,5,4,4,4,1,1,4,5,4,5,5,3,5,4,4,5,5,5,5,2,4,5,5,5,2,5,1,5,2,3,4,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,5,1,1,1,2,2,3,2,2,1,1,1,1,2,155,25,34,29,55,32,47,221
,103,,2,1,2,4,5,4,2,1,2,2,3,4,3,4,5,4,3,2,3,5,4,1,3,1,3,1,4,1,1,5,4,1,2,1,2,5,2,1,2,3,2,1,4,4,5,1,2,1,1,1,5,1,2,5,1,1,5,1,5,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,4,1,1,1,3,5,5,3,3,3,5,5,5,5,5,2,5,4,5,5,3,5,1,1,2,1,1,3,1,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,3,5,3,2,3,4,2,4,2,4,145,19,33,15,41,40,50,196
,104,,2,3,4,2,2,3,2,2,3,2,4,3,4,4,3,2,2,1,3,4,4,3,3,2,4,3,2,3,4,2,3,3,2,1,2,3,3,3,4,2,2,3,2,4,4,3,3,3,3,3,3,4,3,4,2,3,3,3,2,1,2,4,4,4,2,4,3,4,4,4,3,4,4,4,4,4,2,2,5,3,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,5,1,5,1,1,1,159,25,34,21,57,33,58,229
,105,,2,1,3,3,2,2,5,2,1,4,1,1,5,5,5,2,3,5,5,4,3,4,5,1,4,1,4,2,1,5,4,1,2,3,3,4,3,4,4,1,1,3,3,5,5,1,3,2,1,5,3,3,2,3,3,1,4,2,1,5,3,4,2,4,3,4,1,1,2,4,4,4,4,4,2,4,3,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,1,1,1,1,2,3,1,2,3,5,3,2,3,5,5,5,2,3,1,3,1,2,3,2,5,5,4,5,4,2,3,4,2,2,4,5,1,5,2,3,2,189,26,26,20,54,35,69,232
,106,,2,3,2,1,1,3,1,2,1,2,2,3,5,4,2,1,2,1,3,2,3,3,1,1,5,2,4,1,1,2,4,2,2,2,4,2,4,3,2,2,2,4,2,2,4,3,1,2,1,1,1,4,1,5,3,2,3,3,2,2,1,1,1,1,2,5,3,1,2,1,2,1,1,3,1,5,1,3,5,4,5,4,1,4,5,5,5,4,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,2,1,1,5,1,4,1,4,1,1,1,1,1,5,1,1,5,4,1,5,5,2,2,5,4,2,5,2,2,3,2,168,20,24,20,39,21,51,174
,107,,2,4,3,2,2,3,2,2,1,3,2,3,4,5,2,2,3,3,3,4,3,3,3,3,3,3,3,1,1,2,3,2,2,4,5,1,2,4,2,4,4,2,3,2,2,4,1,5,1,1,2,2,4,1,5,4,2,2,4,3,3,2,2,1,3,3,2,3,3,2,4,2,2,3,2,3,2,3,5,5,5,5,5,5,5,4,4,4,5,4,5,3,5,5,3,4,4,2,2,3,3,2,2,4,2,1,5,2,1,1,2,1,1,2,1,1,3,2,1,4,4,2,2,1,1,4,1,3,4,1,3,1,5,4,169,21,32,22,57,26,48,206
,108,,2,3,3,2,1,2,2,3,1,3,1,4,2,2,2,1,2,4,5,3,5,2,2,3,4,4,5,1,3,5,2,2,3,2,5,4,2,3,2,3,4,4,1,3,1,3,2,5,2,3,5,5,3,1,1,3,5,2,5,2,1,2,4,2,3,1,3,5,3,2,5,4,5,1,2,4,4,3,5,3,4,2,3,5,5,4,3,3,5,2,5,2,4,5,5,5,2,1,4,1,2,3,1,2,4,2,2,1,2,1,1,5,1,1,1,2,3,2,2,5,4,3,5,2,5,4,3,1,5,1,3,1,1,4,163,20,37,22,48,28,62,222
,109,,2,1,4,3,3,3,3,3,4,3,3,3,3,3,3,1,2,3,2,3,5,3,3,3,3,2,5,3,3,5,4,3,4,5,4,3,2,1,3,3,3,2,2,1,1,3,3,3,2,4,5,5,3,3,3,2,2,1,1,5,1,1,1,1,3,3,1,3,3,1,3,3,3,1,1,4,3,3,5,5,4,5,5,3,5,5,5,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,2,1,1,4,1,3,3,1,3,140,24,22,23,53,33,53,213
,110,,2,3,3,2,2,3,1,1,2,3,1,3,4,1,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,2,3,3,2,2,3,3,3,3,3,3,4,3,3,2,3,2,4,3,4,3,3,4,3,2,2,2,1,3,2,3,4,3,2,1,3,2,4,3,5,4,3,5,3,2,5,3,5,1,4,2,4,3,4,4,2,5,3,2,2,1,2,2,1,3,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,5,5,5,3,2,4,1,1,5,2,2,1,1,5,144,19,30,17,56,29,49,206
,111,,2,3,2,1,4,2,3,2,1,2,2,2,3,2,3,4,4,2,2,4,3,3,2,2,4,3,3,3,2,4,4,1,1,3,2,3,3,1,2,1,3,1,1,3,2,3,1,2,5,3,4,1,1,3,3,5,3,2,4,5,2,3,2,1,4,2,2,1,2,3,4,3,2,4,3,3,2,2,5,3,3,2,1,2,5,4,5,3,5,4,4,3,1,2,2,2,1,2,1,2,1,3,1,3,2,1,1,2,2,1,2,2,5,1,1,1,1,2,1,2,1,3,5,1,2,5,1,1,2,1,2,1,2,2,126,27,28,19,50,27,48,198
,112,,2,2,4,2,4,3,2,4,2,4,2,1,2,4,4,2,3,4,4,5,3,2,4,3,4,3,5,4,2,4,2,1,3,1,4,5,3,4,1,2,5,3,4,3,5,2,4,2,2,3,4,4,1,2,2,1,2,2,3,3,4,2,4,1,3,3,4,1,4,1,2,1,4,3,1,4,2,2,4,5,3,3,2,1,5,5,3,5,2,4,5,3,5,5,5,5,1,1,1,1,1,3,1,3,3,1,5,5,5,2,3,3,5,1,1,1,1,3,1,5,3,5,5,3,5,5,1,1,5,1,5,5,5,3,179,24,22,26,50,34,62,221
,113,,2,3,4,3,2,3,3,2,1,3,3,3,2,4,3,1,3,3,2,4,3,4,3,3,4,5,4,2,3,2,3,3,1,2,1,4,3,3,2,1,4,2,3,3,5,3,1,2,1,1,1,5,2,3,3,3,2,2,5,3,2,2,3,1,3,1,1,2,2,3,3,4,3,3,3,5,1,3,4,4,4,3,2,5,5,3,5,3,3,4,4,4,3,3,5,3,3,4,2,3,4,2,4,5,2,2,4,1,3,1,3,1,2,1,3,4,1,1,4,5,2,3,5,3,3,3,2,1,3,4,2,4,2,5,174,22,33,24,45,24,60,207
,114,,2,3,3,2,1,2,2,1,1,1,2,4,1,1,4,1,2,3,1,2,3,5,2,2,5,4,5,1,1,4,3,3,2,1,3,5,1,1,3,5,1,5,2,2,4,1,2,4,2,2,3,2,2,3,1,1,5,2,4,1,1,3,2,3,2,1,3,4,5,1,4,1,3,4,1,3,3,5,3,5,4,4,1,1,3,4,2,2,5,5,3,3,1,3,3,5,5,5,3,1,5,5,5,4,4,4,5,1,5,5,5,4,2,5,5,5,2,3,5,3,3,2,2,4,5,5,1,1,2,5,5,1,1,5,195,18,27,19,40,34,55,194
,115,,2,3,2,3,4,3,2,2,2,3,2,5,3,2,2,2,3,3,3,4,4,2,3,3,1,2,4,1,1,2,3,2,2,2,2,4,2,3,2,3,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,4,5,4,3,2,1,2,3,4,5,3,2,4,3,4,4,5,4,3,3,3,5,4,4,4,5,3,4,3,2,5,4,5,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,1,2,2,2,3,1,1,4,1,3,3,2,2,132,20,30,26,50,32,59,220
,116,,2,4,5,4,5,2,4,5,2,1,5,2,5,5,5,4,2,4,4,1,2,5,5,5,1,2,4,4,2,1,1,5,5,5,5,1,5,5,5,1,4,1,4,4,5,5,4,2,1,2,2,1,5,2,4,4,2,4,2,2,5,4,5,4,4,5,4,5,4,4,1,4,5,5,4,4,5,2,2,3,3,4,3,5,5,5,3,4,3,3,5,3,4,2,2,3,4,3,5,5,1,4,3,5,4,3,4,3,4,3,5,4,4,3,4,3,4,3,4,3,4,3,4,3,4,5,3,4,3,5,3,4,3,3,201,23,30,27,80,40,68,272
,117,,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,2,3,2,4,2,2,3,3,3,5,2,2,2,2,2,1,3,3,3,2,3,2,3,2,3,3,3,2,3,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,1,5,1,1,5,1,4,1,1,5,139,22,26,18,47,29,52,196
,118,,2,3,3,2,3,3,1,3,1,1,3,3,1,3,3,1,3,3,3,3,2,3,3,2,4,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,4,1,5,2,3,4,5,2,3,3,4,3,3,3,1,3,3,1,1,2,3,3,2,3,1,2,4,2,2,3,4,3,3,2,2,4,3,4,2,2,2,3,3,4,4,3,4,3,2,2,2,1,3,2,4,2,3,4,3,4,3,3,2,2,3,2,2,2,2,3,5,2,3,4,4,3,3,2,2,2,3,2,2,3,4,158,22,28,22,53,24,52,204
,119,,2,1,5,1,5,2,5,5,5,5,3,3,3,5,2,5,5,4,2,3,4,4,4,5,1,5,1,4,5,1,1,4,1,2,5,1,5,2,5,4,2,4,4,2,2,5,4,4,4,5,2,5,4,4,2,4,2,1,3,4,5,1,2,4,4,2,5,2,4,2,3,4,1,1,3,3,4,2,5,4,5,5,4,5,5,4,5,5,4,3,3,3,1,5,5,1,5,1,3,5,5,4,4,1,4,3,3,5,1,1,4,5,5,4,5,5,5,5,5,5,5,4,1,1,3,5,5,2,3,3,3,2,3,2,207,27,27,29,68,35,59,252
